Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"36047053000","Census Tract 530","Census Tract 530, Kings County, New York","ny","140","00","ACSSF","0004947",,,,,"36","047",,,,"053000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053000",,,"173246","0",4098,4098,61264.16,0.0668906574084513,1125,47,126,56,92,78,45,82,67,38,69,88,69,58,49,97,64,42401,42401,45139,,,37188,,,,56027,42011,68809.4222222222,55691,78657.6397515528,,37270,22655,25881,37431,,19184,31210,12350,30410,21417,18125,31146,41930,64038,29384,28793,21357,29896,62321,73864,31185,13828,15476,31172,41281,62564,42401,108214,35495,1125,945,180,1125,931,194,1125,89,1036,1125,248,877,1125,208,917,1125,53,1072,1125,103,1022,1125,86,1039,1125,84,1041,19087,20469,10108,,16658,,19498,,18009,20960
"36047053100","Census Tract 531","Census Tract 531, Kings County, New York","ny","140","00","ACSSF","0004948",,,,,"36","047",,,,"053100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053100",,,"161778","0",9155,9155,146567.2,0.0624628376656571,1726,97,169,270,197,74,62,91,14,111,118,175,118,66,43,58,63,34583,34583,29125,,,,,51411,,59726,26222,53356.9524913094,28792,49655.3076402975,68569,75521.8623481781,17494,26790,53137,12417,14109,,13024,18669,,16555,,,53850,34539,,33750,46742,,53100,12909,9896,11339,12782,,66339,34583,67969,25492,1726,1589,137,1726,1498,228,1726,144,1582,1726,119,1607,1726,152,1574,1726,79,1647,1726,132,1594,1726,81,1645,1726,100,1626,10183,9417,,,42722,,15879,,37533,8478
"36047053200","Census Tract 532","Census Tract 532, Kings County, New York","ny","140","00","ACSSF","0004949",,,,,"36","047",,,,"053200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053200",,,"174306","0",2740,2740,40713.27,0.0672999257139415,991,64,63,40,44,29,30,35,15,61,61,135,125,97,36,100,56,66513,66513,70114,69696,,37125,,,93693,49286,77589,97119.7780020182,82727,112279.939209726,46719,61668.4684684685,31125,36953,59514,14615,22543,58672,12569,41635,31181,53500,60750,47000,42337,42063,31875,,60125,53452,42083,41367,,54250,62000,41250,47500,66513,76250,60547,991,784,207,991,750,241,991,98,893,991,279,712,991,287,704,991,100,891,991,9,982,991,154,837,991,34,957,35246,42455,46503,,16379,,23228,16170,10004,43072
"36047053300","Census Tract 533","Census Tract 533, Kings County, New York","ny","140","00","ACSSF","0004950",,,,,"36","047",,,,"053300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053300",,,"193137","0",6766,6766,90732.79,0.0745706157711928,1654,200,168,267,132,122,137,48,11,34,129,118,122,12,57,43,54,27239,27239,26772,,,,,,,,26810,66163.1197097944,28091,68972.5558659218,25417,46683.3333333333,19060,21053,48445,12758,17582,30313,15792,20945,20106,21850,,14955,,29318,20452,34576,37083,17976,,13906,,12872,21339,8281,,27239,78571,21189,1654,1278,376,1654,1266,388,1654,76,1578,1654,220,1434,1654,465,1189,1654,112,1542,1654,159,1495,1654,99,1555,1654,104,1550,16293,16402,,,,,,,27987,16277
"36047053400","Census Tract 534","Census Tract 534, Kings County, New York","ny","140","00","ACSSF","0004951",,,,,"36","047",,,,"053400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053400",,,"173382","0",4577,4577,68371.43,0.0669431673042501,1281,163,98,135,161,82,48,83,10,33,34,40,134,78,46,77,59,32578,32578,34167,21534,,,,,2499,,33167,66667.4473067916,36936,67434.1963322546,16189,57847.1751412429,17933,22095,58500,15129,13647,24622,10716,26606,22056,21023,,30500,44125,38229,29167,30966,,52639,,23207,20429,15288,,26042,44250,32578,78846,23354,1281,969,312,1281,913,368,1281,200,1081,1281,179,1102,1281,249,1032,1281,239,1042,1281,41,1240,1281,83,1198,1281,79,1202,19499,21472,15455,13205,16682,,12305,16079,13024,21515
"36047053500","Census Tract 535","Census Tract 535, Kings County, New York","ny","140","00","ACSSF","0004952",,,,,"36","047",,,,"053500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053500",,,"130364","0",4110,4110,81654.84,0.050333823940497,986,15,264,68,108,28,143,19,102,67,29,31,70,32,10,0,0,30240,30240,24795,,,,,,,46618,24590,35637.4239350913,24795,35449.1504854369,29048,31682.7160493827,14931,22000,32719,14013,12845,23630,11779,21974,20132,23281,12837,,59271,24120,20526,30347,,,59271,13571,,14000,,,,30240,59224,28690,986,855,131,986,830,156,986,104,882,986,80,906,986,145,841,986,50,936,986,156,830,986,49,937,986,71,915,8564,7828,8268,,,,42694,,37714,7699
"36047053700","Census Tract 537","Census Tract 537, Kings County, New York","ny","140","00","ACSSF","0004953",,,,,"36","047",,,,"053700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053700",,,"167465","0",3710,3710,57378.29,0.0646586007348297,671,45,92,36,84,33,62,19,64,17,58,34,52,34,0,8,33,33669,33669,34032,,,,,,,,33468,48756.9299552906,33548,49730.2884615385,,35834.0425531915,13808,20369,41667,12266,10506,,9587,17172,16094,16810,,52734,,21818,17344,27545,,53125,,10602,11806,9269,,,,33669,63625,32823,671,642,29,671,626,45,671,22,649,671,53,618,671,58,613,671,36,635,671,38,633,671,9,662,671,15,656,9436,9425,11518,,,,,,20739,9297
"36047053800","Census Tract 538","Census Tract 538, Kings County, New York","ny","140","00","ACSSF","0004954",,,,,"36","047",,,,"053800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053800",,,"164451","0",4640,4640,73076.75,0.0634948887794075,2054,180,307,150,97,70,36,77,159,75,198,179,210,92,49,80,95,42598,42598,40752,,,48108,,,,,40278,59890.2142161636,58478,75413.0353817505,29231,42878.4693877551,25258,26590,49049,12447,23147,55179,12036,40210,25994,27875,42112,50185,65250,32105,26278,28900,45833,,66750,41388,,16806,41853,50694,,42598,79118,40532,2054,1418,636,2054,1418,636,2054,162,1892,2054,174,1880,2054,435,1619,2054,417,1637,2054,22,2032,2054,176,1878,2054,198,1856,26352,27315,36800,,20196,,11932,42969,21634,27558
"36047053900","Census Tract 539","Census Tract 539, Kings County, New York","ny","140","00","ACSSF","0004955",,,,,"36","047",,,,"053900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047053900",,,"101377","0",2513,2513,64202.33,0.0391418801940395,826,72,160,138,93,67,32,19,27,0,16,33,76,39,22,16,16,21265,21265,20970,,,,,26146,,21989,21190,43215.7384987893,26361,51260.8763693271,14175,15453.4759358289,15721,17083,,11831,14537,30625,13373,20238,15485,21176,21806,38803,,21172,17407,22043,26172,,,16321,13994,14803,19375,39293,,21265,125511,20191,826,618,208,826,612,214,826,50,776,826,78,748,826,320,506,826,90,736,826,94,732,826,59,767,826,21,805,14191,13872,22258,,,,14485,,16883,13605
"36047054200","Census Tract 542","Census Tract 542, Kings County, New York","ny","140","00","ACSSF","0004956",,,,,"36","047",,,,"054200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047054200",,,"189169","0",4480,4480,61337.46,0.0730385623408294,1536,99,264,31,70,96,75,30,128,23,166,94,105,115,92,96,52,42429,42429,49022,,,,,40679,,40625,49130,64933.203125,58403,82124.1617357002,12334,30523.9463601533,25817,29688,55061,17054,22279,47589,12125,35448,21357,32917,31000,41858,53235,37315,,33681,52974,55050,54375,32173,,30536,25868,41014,46719,42429,80682,40601,1536,1178,358,1536,1155,381,1536,69,1467,1536,186,1350,1536,346,1190,1536,264,1272,1536,64,1472,1536,101,1435,1536,59,1477,22423,23993,17118,,34141,,9979,,12533,23907
"36047054300","Census Tract 543","Census Tract 543, Kings County, New York","ny","140","00","ACSSF","0004957",,,,,"36","047",,,,"054300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047054300",,,"1053488","376699",408,408,1003.063,0.406754008126679,197,0,0,23,0,14,0,5,4,0,5,0,19,44,9,37,37,116250,116250,169583,,,,,,,,167986,141728.934010152,117232,169480.582524272,102353,100881.914893617,77250,77250,96711,17750,78750,92250,,77500,,,,84688,105278,77500,,,,,105556,78750,,41250,,91500,104000,116250,,116033,197,197,0,197,188,9,197,75,122,197,27,170,197,4,193,197,5,192,197,0,197,197,4,193,197,42,155,66356,94019,75267,,34430,,7697,,30539,90589
"36047054400","Census Tract 544","Census Tract 544, Kings County, New York","ny","140","00","ACSSF","0004958",,,,,"36","047",,,,"054400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047054400",,,"190006","0",3764,3764,51307.41,0.0733617298612967,1241,58,168,116,47,27,40,47,18,59,74,141,94,110,91,36,115,58218,58218,57708,,,59914,,,,,60208,93643.9967767929,60345,103292.349137931,47813,65038.0191693291,21182,20109,37853,11272,21942,53527,9481,25905,16628,22527,24605,72222,62125,25366,15862,17171,19598,63333,71786,29063,17018,23224,30673,78611,,58218,82250,37371,1241,1005,236,1241,920,321,1241,189,1052,1241,223,1018,1241,417,824,1241,156,1085,1241,18,1223,1241,112,1129,1241,82,1159,30733,29732,,,38348,,,,11618,30663
"36047054500","Census Tract 545","Census Tract 545, Kings County, New York","ny","140","00","ACSSF","0004959",,,,,"36","047",,,,"054500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047054500",,,"167760","0",8529,8529,131676.3,0.0647725008764519,2396,377,437,376,130,108,133,130,58,93,69,93,180,28,0,83,101,20541,20541,24623,,,,,18204,,17879,25959,52215.4424040067,26303,56429.1900152827,11384,12407.6212471132,13857,17425,35536,12372,11380,39179,9713,30309,15451,41974,31414,58438,,31972,15485,57787,35897,,,23548,15417,,,,,20541,,19330,2396,1500,896,2396,1478,918,2396,120,2276,2396,123,2273,2396,738,1658,2396,407,1989,2396,229,2167,2396,99,2297,2396,80,2316,14544,14370,17214,,,,19338,1070,10069,15196
"36047054600","Census Tract 546","Census Tract 546, Kings County, New York","ny","140","00","ACSSF","0004960",,,,,"36","047",,,,"054600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US36047054600",,,"180667","0",4730,4730,67807.87,0.0697559216490578,1821,189,189,134,37,98,107,52,28,82,160,210,182,117,91,75,70,49798,49798,48713,60119,,38542,,,71196,,48217,64740.6919275124,60750,73548.9722966935,27143,49168.5185185185,25315,26807,53250,11500,22917,45385,11703,37301,11440,27212,32188,42500,50917,39583,,52361,36250,39653,63462,33262,10603,14722,31648,43194,49306,49798,66130,39844,1821,1236,585,1821,1209,612,1821,157,1664,1821,196,1625,1821,537,1284,1821,329,1492,1821,79,1742,1821,253,1568,1821,125,1696,25198,26376,30178,,16752,,,12275,24880,26975
